seed,prior_name,hessian_condition_number,hessian_status,optimisation_status,min_hessian_eigenvalue,max_hessian_eigenvalue,hessian_device,covariance_device,linear_algebra_fallback,device_used,cuda_available,gpu_name
0,laplace,1330.340879465356,positive_definite,converged,124.96141702803509,166241.28142831288,cpu,cpu,none,cpu,False,
0,student_t,6.06552136631579,positive_definite,converged,125.77545254728803,762.8936947836137,cpu,cpu,none,cpu,False,
0,gaussian,6.10657041677434,positive_definite,converged,125.17861244098071,764.4120115449525,cpu,cpu,none,cpu,False,
1,laplace,490.40757350973195,positive_definite,converged,152.2308914245971,74655.1820767604,cpu,cpu,none,cpu,False,
1,student_t,6.547665527395308,positive_definite,converged,122.38711966952978,801.3499244573837,cpu,cpu,none,cpu,False,
1,gaussian,6.520580924731197,positive_definite,converged,123.01192417231533,802.1092062724775,cpu,cpu,none,cpu,False,
2,laplace,1290.2184618231627,positive_definite,converged,132.6884738173418,171197.11859027654,cpu,cpu,none,cpu,False,
2,student_t,5.900458213266644,positive_definite,converged,135.7120693844006,800.763394438598,cpu,cpu,none,cpu,False,
2,gaussian,5.923869300376213,positive_definite,converged,135.12859627637062,800.4841430845232,cpu,cpu,none,cpu,False,
3,laplace,103.05080645941702,positive_definite,converged,155.29785365204074,16003.56906025932,cpu,cpu,none,cpu,False,
3,student_t,4.897524929876709,positive_definite,converged,158.29309608570554,775.2443843071115,cpu,cpu,none,cpu,False,
3,gaussian,4.868975501498591,positive_definite,converged,159.0628804636339,774.4732681752314,cpu,cpu,none,cpu,False,
4,laplace,53.58654115985546,positive_definite,converged,163.30881208247234,8751.154380424508,cpu,cpu,none,cpu,False,
4,student_t,5.556095961616062,positive_definite,converged,147.24289794502562,818.0956706490038,cpu,cpu,none,cpu,False,
4,gaussian,5.543044059236395,positive_definite,converged,147.79806717904233,819.251198243411,cpu,cpu,none,cpu,False,
